DATE,USACPIALLMINMEI,,https://fred.stlouisfed.org/series/USACPIALLMINMEI
1/1/60,12.36198247,,
2/1/60,12.40417354,,
3/1/60,12.40417354,,
4/1/60,12.44636461,,
5/1/60,12.44636461,,
6/1/60,12.48855567,,
7/1/60,12.48855567,,
8/1/60,12.48855567,,
9/1/60,12.48855567,,
10/1/60,12.57293781,,
11/1/60,12.57293781,,
12/1/60,12.57293781,,
1/1/61,12.57293781,,
2/1/61,12.57293781,,
3/1/61,12.57293781,,
4/1/61,12.57293781,,
5/1/61,12.57293781,,
6/1/61,12.57293781,,
7/1/61,12.65731994,,
8/1/61,12.61512887,,
9/1/61,12.65731994,,
10/1/61,12.65731994,,
11/1/61,12.65731994,,
12/1/61,12.65731994,,
1/1/62,12.65731994,,
2/1/62,12.69951101,,
3/1/62,12.69951101,,
4/1/62,12.74170207,,
5/1/62,12.74170207,,
6/1/62,12.74170207,,
7/1/62,12.78389314,,
8/1/62,12.78389314,,
9/1/62,12.8260842,,
10/1/62,12.8260842,,
11/1/62,12.8260842,,
12/1/62,12.8260842,,
1/1/63,12.8260842,,
2/1/63,12.8260842,,
3/1/63,12.86827527,,
4/1/63,12.86827527,,
5/1/63,12.86827527,,
6/1/63,12.91046634,,
7/1/63,12.9526574,,
8/1/63,12.9526574,,
9/1/63,12.9526574,,
10/1/63,12.99484847,,
11/1/63,12.99484847,,
12/1/63,13.03703954,,
1/1/64,13.03703954,,
2/1/64,13.03703954,,
3/1/64,13.03703954,,
4/1/64,13.03703954,,
5/1/64,13.03703954,,
6/1/64,13.0792306,,
7/1/64,13.12142167,,
8/1/64,13.0792306,,
9/1/64,13.12142167,,
10/1/64,13.12142167,,
11/1/64,13.16361274,,
12/1/64,13.16361274,,
1/1/65,13.16361274,,
2/1/65,13.16361274,,
3/1/65,13.2058038,,
4/1/65,13.24799487,,
5/1/65,13.24799487,,
6/1/65,13.332377,,
7/1/65,13.332377,,
8/1/65,13.332377,,
9/1/65,13.332377,,
10/1/65,13.37456807,,
11/1/65,13.37456807,,
12/1/65,13.41675914,,
1/1/66,13.41675914,,
2/1/66,13.50114127,,
3/1/66,13.54333233,,
4/1/66,13.62771447,,
5/1/66,13.62771447,,
6/1/66,13.66990553,,
7/1/66,13.7120966,,
8/1/66,13.79647873,,
9/1/66,13.79647873,,
10/1/66,13.88086087,,
11/1/66,13.88086087,,
12/1/66,13.88086087,,
1/1/67,13.88086087,,
2/1/67,13.88086087,,
3/1/67,13.92305193,,
4/1/67,13.965243,,
5/1/67,14.00743407,,
6/1/67,14.04962513,,
7/1/67,14.0918162,,
8/1/67,14.13400727,,
9/1/67,14.17619833,,
10/1/67,14.2183894,,
11/1/67,14.26058046,,
12/1/67,14.30277153,,
1/1/68,14.38715366,,
2/1/68,14.42934473,,
3/1/68,14.4715358,,
4/1/68,14.51372686,,
5/1/68,14.55591793,,
6/1/68,14.64030006,,
7/1/68,14.7246822,,
8/1/68,14.76687326,,
9/1/68,14.80906433,,
10/1/68,14.89344646,,
11/1/68,14.93563753,,
12/1/68,14.97782859,,
1/1/69,15.02001966,,
2/1/69,15.10440179,,
3/1/69,15.23097499,,
4/1/69,15.31535713,,
5/1/69,15.35754819,,
6/1/69,15.44193033,,
7/1/69,15.52631246,,
8/1/69,15.61069459,,
9/1/69,15.65288566,,
10/1/69,15.73726779,,
11/1/69,15.82164992,,
12/1/69,15.90603206,,
1/1/70,15.94822312,,
2/1/70,16.03260526,,
3/1/70,16.11698739,,
4/1/70,16.24356059,,
5/1/70,16.28575165,,
6/1/70,16.37013379,,
7/1/70,16.45451592,,
8/1/70,16.45451592,,
